u_id	document_id	person_id	speaker_note_id
i-WAP24sYHaTkrJXUL1w632Y	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-947QH5NrVvCHZjmptXf7Mh	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-FW5AakCGFcRbAMSyxHmSUW	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-2ZW2k2jnuufgTSoBWAk2Hr	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-KxgH251ZJUPia3K3twipY	2	Q707581	i-XN9xPnavSm16xxVkAi9Bov
i-RuBxgNphkAXnU5wsdBzNvT	2	unknown	i-FLAKbERfSWgAbLUCwKHSoz
i-XvXJAh7SRmUzGcLMXhs9Qq	2	unknown	i-FLAKbERfSWgAbLUCwKHSoz
i-HhYGpERpFvZRySSExdzbCu	2	unknown	missing
i-MAyRLwiveKqnEZ5t8BBor	3	Q707581	i-Aq16PqA3hUXkNv4ybgNgpY
i-UjQKh9k2Lz68JzxQUpS17z	3	unknown	i-2wbZFwBnB361VPCTSESs8x
i-3bjmCP5S18F6yXVmKwvYJb	3	unknown	i-2wbZFwBnB361VPCTSESs8x
i-XS1M2cj42vzmtLS83jsSGZ	3	unknown	missing
i-LpRV1VaoM6YHcFGJZUAecn	3	unknown	missing
i-8m5mV6M5v93MXTfcG8PHvu	3	unknown	missing
i-9UsJ5zTg1YejzMnMDVu8vh	3	unknown	missing
i-UNxzsSoSmuoiWsuTgC2ewC	3	unknown	missing
i-AR8xAwoBvas4vRxJHL9y8V	3	unknown	missing
i-3JFFuKcceQHCVkeJwLSj13	3	unknown	missing
i-AzDihxjgTRcuUrMKJiFUuc	3	unknown	missing
i-QnUYSfuJTtwVxF5Sd72ZoR	3	unknown	missing
i-6Lt38q3cY3fz8Sg2VBehez	3	unknown	missing
i-WcgqCFuVy52aiaXGjMv3q3	3	unknown	missing
i-2CMSX8BYvBNWcQ8YBXwatg	3	unknown	missing
i-EitB3WTCfxjWcR4gC7cR1m	3	unknown	missing
i-B1GxrgRPh3KL6BoUauXjZ2	3	unknown	missing
i-6axLj9JAyksdLizBeSaTRx	3	unknown	missing
i-NxZ9iPGyx4yS6fXFiSYWJ4	3	unknown	missing
i-QgnBzw48UYrG6JFYS2MCWd	3	unknown	missing
i-MBfTuZuevhv86YXHLVWLuC	3	unknown	missing
i-5YNQxUfp1fCmCLqsC8wH5M	3	unknown	missing
i-MsTE2uVbXst7MmHyF63oU6	3	unknown	missing
i-Ur91Wm3RHCmsbaMtJf5dEJ	3	unknown	missing
i-2BzHjNN741qa6abbvSCdh9	3	unknown	missing
i-UYo38Y1jYPDPcgaiTQpWKq	3	unknown	missing
i-TPZNXbyXyocRgBqXKFb1tJ	3	unknown	missing
i-FQzr7ywFbhtb6EZSuC6usP	3	unknown	missing
i-3hymV1izUxWDys64tgdqno	3	unknown	missing
i-XKHVygSMupJzzynhY2iac3	3	unknown	missing
i-BJMEGwxAW1DuVGTMcs9FSZ	3	unknown	missing
i-BHUvBdbk1Tsd846jRxN3z5	3	unknown	missing
i-BVDd5uFVtQAyZNLHXsqK9a	3	unknown	missing
i-Jk6HvXMqeRj8JHS6y12GM3	3	unknown	missing
i-DU2H16eSWf9mV5DEZzefMm	3	unknown	missing
i-5FMrUCBuS6rxZ4qqCiwL9V	3	unknown	missing
i-HxRXMbYkdoF382JpyJro6K	3	unknown	missing
i-HPqvYqWDggMXRvjEm19gV4	3	unknown	missing
i-TPsbM5r7FUxgKAB9ge2tu9	3	unknown	missing
i-JD9yJqoJJiXqbNgw5MwWGb	3	unknown	missing
i-97UuBLc2yy2Rkc2qanMsBY	3	unknown	missing
i-FfjLkhDmP6UQ9YprKXev9G	3	unknown	missing
i-4ZYYWJ4WQTc2UCc5Mg53ia	3	unknown	missing
i-XZgGoMXmMrHUuWqCzA1aQ1	3	unknown	missing
i-TUJibiUBdVSjc9AMrtQbdG	3	unknown	missing
i-DYGE8gMeMsgg8WXEKiXyKV	3	unknown	missing
i-cceb7ba30ab71cb6-0	4	Q6027171	i-9528X3MbkqWP24DpbEJU38
i-cceb7ba30ab71cb6-1	4	Q6027171	i-9528X3MbkqWP24DpbEJU38
i-7k5bXHGTLuxszQvHa8sq9j	4	Q6027171	i-9528X3MbkqWP24DpbEJU38
i-cceb7ba30ab71cb6-5	4	Q6027171	i-9528X3MbkqWP24DpbEJU38
i-8c2730028de580bb-0	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-3Q3aPA6e6v41gBmebPLZR6	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-8c2730028de580bb-1	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-8c2730028de580bb-2	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-8c2730028de580bb-3	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-8c2730028de580bb-4	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-8c2730028de580bb-5	4	Q6031148	i-WkB7UsXDTLXfkX2ahdiAmY
i-c7a477f884b65e13-0	4	Q6020187	i-DNPkJePrCJ7PJJrKe54nu3
i-c7a477f884b65e13-1	4	Q6020187	i-DNPkJePrCJ7PJJrKe54nu3
i-c7a477f884b65e13-2	4	Q6020187	i-DNPkJePrCJ7PJJrKe54nu3
i-c7a477f884b65e13-3	4	Q6020187	i-DNPkJePrCJ7PJJrKe54nu3
i-c7a477f884b65e13-4	4	Q6020187	i-DNPkJePrCJ7PJJrKe54nu3
i-c7a477f884b65e13-5	4	Q6020187	i-DNPkJePrCJ7PJJrKe54nu3
i-cceb7ba30ab71cb6-6	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-7	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-8	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-9	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-10	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-11	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-12	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-13	4	Q6027171	i-AseGFNkMUQWadAzJ5f6FwN
i-cceb7ba30ab71cb6-14	4	unknown	i-TUh7MBdX9eKJYRRgvbwXuQ
i-cceb7ba30ab71cb6-15	4	unknown	i-TUh7MBdX9eKJYRRgvbwXuQ
i-cceb7ba30ab71cb6-16	4	unknown	missing
i-cceb7ba30ab71cb6-17	4	unknown	missing
i-cceb7ba30ab71cb6-18	4	unknown	missing
i-cceb7ba30ab71cb6-19	4	unknown	missing
i-cceb7ba30ab71cb6-20	4	unknown	missing
i-cceb7ba30ab71cb6-21	4	unknown	missing
i-8GknxPJJZbu61XHxJkbnL4	4	unknown	missing
i-cceb7ba30ab71cb6-22	4	unknown	missing
i-cceb7ba30ab71cb6-23	4	unknown	missing
i-cceb7ba30ab71cb6-24	4	unknown	missing
i-cceb7ba30ab71cb6-25	4	unknown	missing
i-cceb7ba30ab71cb6-26	4	unknown	missing
i-cceb7ba30ab71cb6-27	4	unknown	missing
i-cceb7ba30ab71cb6-28	4	unknown	missing
i-cceb7ba30ab71cb6-29	4	unknown	missing
i-cceb7ba30ab71cb6-30	4	unknown	missing
i-cceb7ba30ab71cb6-31	4	unknown	missing
i-cceb7ba30ab71cb6-32	4	unknown	missing
i-a0408781763da742-0	4	Q6047050	i-HvjKi4AA3dZHk294fpdmy1
i-a0408781763da742-1	4	Q6047050	i-HvjKi4AA3dZHk294fpdmy1
i-a0408781763da742-2	4	Q6047050	i-HvjKi4AA3dZHk294fpdmy1
i-8c2730028de580bb-6	4	Q6031148	i-SYGsxohjRtr9Eq3NDJYtp9
i-a0408781763da742-3	4	Q6031148	i-SYGsxohjRtr9Eq3NDJYtp9
i-c7a477f884b65e13-6	4	Q6020187	i-C8rdm3C2g1iJvCp1Aut7UJ
i-a0408781763da742-4	4	Q6020187	i-C8rdm3C2g1iJvCp1Aut7UJ
i-a0408781763da742-5	4	Q6020187	i-C8rdm3C2g1iJvCp1Aut7UJ
i-91699a7e2bcc5f9d-0	4	Q6027171	i-X494gcgMeMtAHfto8dGBC1
i-a0408781763da742-6	4	Q6027171	i-X494gcgMeMtAHfto8dGBC1
i-a0408781763da742-7	4	Q6027171	i-X494gcgMeMtAHfto8dGBC1
i-470ce18344cd68a1-0	4	Q3376192	i-DEDW5yrJaMmKLkS1hJiKhQ
i-470ce18344cd68a1-1	4	Q3376192	i-DEDW5yrJaMmKLkS1hJiKhQ
i-470ce18344cd68a1-2	4	Q3376192	i-DEDW5yrJaMmKLkS1hJiKhQ
i-470ce18344cd68a1-3	4	Q3376192	i-DEDW5yrJaMmKLkS1hJiKhQ
i-470ce18344cd68a1-4	4	Q3376192	i-DEDW5yrJaMmKLkS1hJiKhQ
i-0f1a6b4324ee224b-0	4	Q6047050	i-EHpW5DN4UCeiUFvZJ6nwFA
i-470ce18344cd68a1-5	4	Q6047050	i-EHpW5DN4UCeiUFvZJ6nwFA
i-62a52a1700ee5a29-0	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-1	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-2	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-3	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-4	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-5	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-6	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-7	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-W151R1XG31Vo5kYTWhEBc4	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-8	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-9	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-10	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-11	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-62a52a1700ee5a29-12	4	Q6255268	i-xaqJ7YBcJQnx1VJTtond8
i-6d433c783ae7b80c-0	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-1	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-2	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-3	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-4	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-5	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-6	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-7	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-8	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-6d433c783ae7b80c-9	4	Q6146893	i-3Aww5ggzRFgeKp1oPeAhdV
i-470ce18344cd68a1-6	4	Q3376192	i-Boh7rm6MmvUkcjZpGfBGZU
i-470ce18344cd68a1-7	4	Q3376192	i-Boh7rm6MmvUkcjZpGfBGZU
i-62a52a1700ee5a29-13	4	Q6255268	i-3dgxnXRqR6mzVwUX18r6nJ
i-470ce18344cd68a1-9	4	Q6255268	i-3dgxnXRqR6mzVwUX18r6nJ
i-470ce18344cd68a1-10	4	Q6255268	i-3dgxnXRqR6mzVwUX18r6nJ
i-N8aW9C61fZsbrJp8jFWpej	4	Q6146893	i-MQTm4ZdawCN9238gPtRyif
i-470ce18344cd68a1-11	4	Q6146893	i-MQTm4ZdawCN9238gPtRyif
i-7e2d7e0d2ca93416-0	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-1	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-2	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-3	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-4	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-5	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-6	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-R9xm5LsYoZbythQvPkj7dg	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-7	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-7e2d7e0d2ca93416-8	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-MjACQfGucMnLpUj9C7QV9H	4	Q5954195	i-R9u1t3N3hvfopUpUePSHuS
i-2107f0e03be66a4e-0	4	Q6044930	i-VZoCU5xQmWZJNCSDYRVDCm
i-2107f0e03be66a4e-1	4	Q6044930	i-VZoCU5xQmWZJNCSDYRVDCm
i-2107f0e03be66a4e-2	4	Q6044930	i-VZoCU5xQmWZJNCSDYRVDCm
i-7e2d7e0d2ca93416-9	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-7e2d7e0d2ca93416-10	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-WTkpdym2aBSKtFJtxcEDRG	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-GGjvtRG4Nr7wZPpwdJjP1X	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-7e2d7e0d2ca93416-14	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-M9iZ48TQNLfbsxg6zRxx6f	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-FGstz44XwadXeKdgaySeHu	4	Q5954195	i-UF3RG7ecE2ZMrt7WKz262Z
i-769040ebe1e21510-0	4	Q5938913	i-7JG6kURkURLMJuuSb6Q6iA
i-769040ebe1e21510-1	4	Q5938913	i-7JG6kURkURLMJuuSb6Q6iA
i-769040ebe1e21510-2	4	Q5938913	i-7JG6kURkURLMJuuSb6Q6iA
i-769040ebe1e21510-3	4	Q5938913	i-7JG6kURkURLMJuuSb6Q6iA
i-769040ebe1e21510-4	4	Q5938913	i-7JG6kURkURLMJuuSb6Q6iA
i-c1705b0edcc1e47c-0	4	Q6231399	i-VTzUi8N3frCCY1iTtvSHiu
i-c1705b0edcc1e47c-1	4	Q6231399	i-VTzUi8N3frCCY1iTtvSHiu
i-c1705b0edcc1e47c-2	4	Q6231399	i-VTzUi8N3frCCY1iTtvSHiu
i-c1705b0edcc1e47c-3	4	Q6231399	i-VTzUi8N3frCCY1iTtvSHiu
i-c1705b0edcc1e47c-4	4	Q6231399	i-VTzUi8N3frCCY1iTtvSHiu
i-c1705b0edcc1e47c-5	4	Q6231399	i-VTzUi8N3frCCY1iTtvSHiu
i-2b7135c6d719d4a7-0	4	Q5348198	i-Gxwo5FemGA8hPxwneKQB3a
i-2b7135c6d719d4a7-1	4	Q5348198	i-Gxwo5FemGA8hPxwneKQB3a
i-eb47a25fc4ff2e8d-0	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-eb47a25fc4ff2e8d-1	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-eb47a25fc4ff2e8d-2	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-QsfkqxddKahS7axaYqCDNt	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-eb47a25fc4ff2e8d-3	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-eb47a25fc4ff2e8d-4	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-eb47a25fc4ff2e8d-5	4	Q6000480	i-3JtHXRtrDE18qPopb33W6x
i-H1TkH9QGDjbmPdyMefpy3r	4	Q5937997	i-AwHcJS8JmgfXUMAwHJubiK
i-769040ebe1e21510-6	4	Q5937997	i-AwHcJS8JmgfXUMAwHJubiK
i-769040ebe1e21510-7	4	Q5937997	i-AwHcJS8JmgfXUMAwHJubiK
i-SJFBC2chNkALM5mACtH7ox	4	Q5937997	i-AwHcJS8JmgfXUMAwHJubiK
i-fb0f1752436fe20c-0	4	Q53740	i-33vb162B19UceNfKwiUfGr
i-fb0f1752436fe20c-1	4	Q53740	i-33vb162B19UceNfKwiUfGr
i-c1705b0edcc1e47c-6	4	Q6231399	i-DyVcu196yHdGcF5i4JStHQ
i-QRGEfBQg1prdm4CmzFosDz	4	Q6231399	i-DyVcu196yHdGcF5i4JStHQ
i-c1705b0edcc1e47c-7	4	Q6231399	i-DyVcu196yHdGcF5i4JStHQ
i-769040ebe1e21510-8	4	Q5938913	i-HNtsHEq1wVTNbxJxKK2ucw
i-fb0f1752436fe20c-2	4	Q53740	i-Mb93WugWtzFfwDhnH2iAuG
i-fb0f1752436fe20c-3	4	Q53740	i-Mb93WugWtzFfwDhnH2iAuG
i-c1705b0edcc1e47c-8	4	Q6231399	i-9zV6hxgJvHUpbnvkTqK44b
i-fb0f1752436fe20c-4	4	Q53740	i-CGQg91rpCbWAEGwempE4kR
i-fb0f1752436fe20c-5	4	Q53740	i-CGQg91rpCbWAEGwempE4kR
i-c1705b0edcc1e47c-9	4	Q6231399	i-HNgP65FSpM5AG9YYjLvfKV
i-fb0f1752436fe20c-6	4	Q53740	i-EGd5uwvWabMaaGFgM7ssK8
i-8wBEVbX8Z9YZ5HxpKk2g4V	4	Q53740	i-EGd5uwvWabMaaGFgM7ssK8
i-c1705b0edcc1e47c-10	4	Q6231399	i-G23oudZXJSqLaHUVQqcxSc
i-c1705b0edcc1e47c-11	4	Q6231399	i-G23oudZXJSqLaHUVQqcxSc
i-9r1T4hE9Qm55iK4nwZwKzn	4	Q6231399	i-G23oudZXJSqLaHUVQqcxSc
i-7EeYry6Q3Qk5HWg8YHJUnJ	4	Q6231399	i-G23oudZXJSqLaHUVQqcxSc
i-c1705b0edcc1e47c-13	4	Q6231399	i-G23oudZXJSqLaHUVQqcxSc
i-Eisihs5EjQLEDGEjqSXtVR	4	Q6231399	i-G23oudZXJSqLaHUVQqcxSc
i-c1705b0edcc1e47c-15	4	Q6231399	i-W3kwgRgLD5EK7zwhAeBDCE
i-769040ebe1e21510-9	4	Q5938913	i-H7DnvvPvhQAYjoM7mdT9Lh
i-eb47a25fc4ff2e8d-6	4	Q6000480	i-C176jHwMeanN5mu6g8JtsR
i-8da23e17b21218de-1	4	Q53740	i-S5wsG6GeEw4X2AEEFNpQDf
i-GedbVmW3HMKpKAMrU8mckP	4	Q53740	i-S5wsG6GeEw4X2AEEFNpQDf
i-7e2d7e0d2ca93416-15	4	unknown	i-33TtbGS6mYKjTvKAqTSCoS
i-7e2d7e0d2ca93416-16	4	unknown	i-33TtbGS6mYKjTvKAqTSCoS
i-7e2d7e0d2ca93416-17	4	unknown	missing
i-7e2d7e0d2ca93416-18	4	unknown	missing
i-fb0f1752436fe20c-7	4	Q53740	i-MwxHiNKwLyUcQ79PR2WMH3
i-fb0f1752436fe20c-8	4	Q53740	i-MwxHiNKwLyUcQ79PR2WMH3
i-7e2d7e0d2ca93416-19	4	unknown	i-2vsFZL6geVym7xG7SGCvcp
i-fb0f1752436fe20c-9	4	Q53740	i-FnpPvNVNqgmwk5XYwEy1MM
i-fb0f1752436fe20c-10	4	Q2345137	i-UfZnBnC72wY46QS8Ao1iK7
i-fb0f1752436fe20c-11	4	Q2345137	i-UfZnBnC72wY46QS8Ao1iK7
i-8e9d16354ec7e9ca-0	4	Q5897318	i-XhVS7GxHALQDVTQX77Pmz3
i-8e9d16354ec7e9ca-1	4	Q5897318	i-XhVS7GxHALQDVTQX77Pmz3
i-8e9d16354ec7e9ca-2	4	Q5897318	i-XhVS7GxHALQDVTQX77Pmz3
i-8e9d16354ec7e9ca-3	4	Q5897318	i-XhVS7GxHALQDVTQX77Pmz3
i-c155478886549b2e-0	4	Q2345137	i-9j58mPTnRv38thb64bUuEY
i-c155478886549b2e-1	4	Q2345137	i-9j58mPTnRv38thb64bUuEY
i-c155478886549b2e-2	4	Q2345137	i-9j58mPTnRv38thb64bUuEY
i-8e9d16354ec7e9ca-4	4	Q5897318	i-Wkmeki6AXpyra8by9oqAHu
i-8e9d16354ec7e9ca-6	4	unknown	i-KvDtng6dVu6kNThjpoR9fF
i-8e9d16354ec7e9ca-7	4	unknown	i-KvDtng6dVu6kNThjpoR9fF
i-cceb7ba30ab71cb6-33	4	Q6027171	i-WK5NoWTGrRRwhrtxuek6tg
i-cceb7ba30ab71cb6-34	4	Q6027171	i-WK5NoWTGrRRwhrtxuek6tg
i-cceb7ba30ab71cb6-35	4	Q6027171	i-WK5NoWTGrRRwhrtxuek6tg
i-c155478886549b2e-3	4	Q2345137	i-XadFh2LnvkoDSsi9SkFspi
i-c155478886549b2e-4	4	Q2345137	i-XadFh2LnvkoDSsi9SkFspi
i-cceb7ba30ab71cb6-36	4	Q6027171	i-QwmJJRVXxYqQJ8UgYzb6da
i-c155478886549b2e-5	4	Q2345137	i-EghHo4Qq1WK4MsrNZ5fq18
i-c155478886549b2e-6	4	Q2345137	i-EghHo4Qq1WK4MsrNZ5fq18
i-cceb7ba30ab71cb6-37	4	Q6027171	i-QGAy8zFyKQD543kD4r5E1n
i-cceb7ba30ab71cb6-38	4	Q6017016	i-P4djrUeg69SdeW12e5seVZ
